Authors,Title,Journal,Year,Theme,Middleman feature,Meeting,Terms of trade
P. Antras and A. Costinot,Intermediated trade,The Quarterly Journal of Economics,2011,Interantional trade,AD access,Random,Bargaining
G. Biglaiser,Middlemen as Experts,The RAND Journal of Economics,1993,Goods,Information + Warranty,Directed,Monopoly
G. Biglaiser and J.W. Friedman,Middlemen as guarantors of quality,International journal of industrial organization,1994,Goods,Information,Directed,Monopoly
G. Biglaiser and F. Li,"Middlemen: the good, the bad, and the ugly",The RAND Journal of Economics,2018,Goods,Information + Warranty,Directed,Monopoly
"G. Biglaiser, F. Li, C. Murry and Y. Zhou",Intermediaries and Product Quality in Used Car Markets,The RAND Journal of Economics,2020,Cars,Information,Hybrid,Monopoly
B. Caillaud and B. Jullien,Chicken and Egg: Competition among Intermediation Service Providers,The RAND Journal of Economics,2003,Platform,Match making,Directed,Bertrand Competition
G. Camera,"Search, dealers, and the terms of trade",Review of Economic Dynamics,2001,Goods,"Storage cost, Bargaining power",Random,Bargaining
B. Chang and S. Zhang,Endogenous market making and network formation,mimeo,2015,Interdealer Assets,Ex ante homogeneous,Directed,Posting
"D. Duffie, N. Gârleanu and L. H. Pederson",Over-the-Counter Markets,Econometrica,2005,Assets,AD access,Random,Bargaining
"D. Duffie, N. Gârleanu and L. H. Pedersen",Valuation in over-the-counter markets,The Review of Financial Studies,2007,Assets,AD access,Random,Bargaining
"M. Farboodi, G. Jarosch, G. Menzio and U. Wiriadinata",Intermediation as Rent Extraction,mimeo,2019,Assets,Bargaining power,Random,Bargaining
"M. Farboodi, G. Jarosch and R. Shimer",The Emergence of Market Structure,Review of Economic Studies,2023,Assets,Meeting rate,Random,Bargaining
J. Fingleton,Competition between intermediated and direct trade and the timing of disintermediation,Oxford Economic Papers,1997,Goods,First mover,Directed,Monopoly
J. Fingleton,Competition among middlemen when buyers and sellers can trade directly,The Journal of Industrial Economics,1997,Goods,First mover,Directed,Monopoly
"P. Gautier, B. Hu and M. Watanabe",Marketmaking Middlemen,The RAND Journal of Economics,2023,Goods,"WM access, Platform",Directed,Monopoly
T. Gehrig,Intermediation in Search Markets,Journal of Economics and Management Strategy,1993,Goods,"Meeting, Organizing",Directed,Posting
A. Geromichalos and K. Jung,An Over-the-Counter Approach to the Forex Market,International Economic Review,2018,Currencies,AD access,Random,Bargaining
G.X. Gong and R. Wright,Middlemen in search equilibrium with intensive and extensive margins,International Economic Review,2024,Goods,"Storage cost, Bargaining power",Random,Bargaining
"C. Gu, L. Wang and R. Wright","Intermediaries, Inventories and Endogenous Dynamics in Frictional Markets",mimeo,2024,Goods,Storage technology,Random,Bargaining
A. Hagiu,Merchant or two-sided platform?,Review of Network Economics,2007,Goods,Meeting technology,Directed,Monopoly
"B. Hu, M. Watanabe and J. Zhang",Middlemen and Liquidity Provision,mimeo,2024,Goods + Liquidity,Meeting technology,Directed,Monopoly
"J. Hugonnier, B. Lester, P. Weill",Frictional Intermediation in Over-the-Counter Markets,Review of Economic Studies,2020,Assets,Interdealer market,Random,Bargaining
A. Johri and J. Leach,Middlemen and the Allocation of Heterogeneous Goods,International Economic Review,2002,Goods,Meeting rate,Random,Bargaining
M. H. Kotowski and C. M. Leister,Trading networks and equilibrium intermediation,mimeo,2019,Goods,Network,Directed,Auction
